author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price_per_month,commissions,price,district,street,house_number,underground,residential_complex
Самолет,developer,https://www.cian.ru/sale/flat/299285948/,Москва,sale,flat,4,10,2,55.03,-1,0,10698683,,,к32,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/301118744/,Москва,sale,flat,2,21,2,52.93,-1,0,10735802,,,к12,Филатов Луг,Цветочные Поляны ЖК
ФСК,developer,https://www.cian.ru/sale/flat/291753765/,Москва,sale,flat,1,15,2,40.87,-1,0,10740636,,,к1,Румянцево,Движение. Говорово ЖК
Валерия Советова,realtor,https://www.cian.ru/sale/flat/301457718/,Москва,sale,flat,3,9,2,45.0,-1,0,10700000,Вешняки,Вешняковская ,27К2,Выхино,
ПИК,developer,https://www.cian.ru/sale/flat/301532208/,Москва,sale,flat,3,9,2,56.0,-1,0,10848961,,,,Филатов Луг,Середневский Лес ЖК
,,https://www.cian.ru/sale/flat/299511043/,Москва,sale,flat,17,17,2,50.6,-1,0,10839709,, Мостотреста,,Щербинка,Юнино
Инград,developer,https://www.cian.ru/sale/flat/300497264/,Москва,sale,flat,2,22,2,49.6,-1,0,10898679,,,к6,Саларьево,Филатов Луг ЖК
А101,developer,https://www.cian.ru/sale/flat/279343316/,Москва,sale,flat,2,8,2,52.8,-1,0,10761215,,,к2.3,Бунинская аллея,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/280244953/,Москва,sale,flat,11,18,2,38.7,-1,0,10782936,,,2.3,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/290891317/,Москва,sale,flat,6,12,2,41.4,-1,0,10817169,,,4.3,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/279712549/,Москва,sale,flat,13,18,2,38.7,-1,0,10805995,,,1.3,Бунинская аллея,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/296398212/,Москва,sale,flat,4,9,2,54.6,-1,0,10845182,,,1.2,Толстопальцево,Родные кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/296397887/,Москва,sale,flat,2,9,2,56.5,-1,0,10897673,,,1.2,Толстопальцево,Родные кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/288193930/,Москва,sale,flat,2,16,2,41.7,-1,0,10892187,,,,Коммунарка,Скандинавия
Самолет,developer,https://www.cian.ru/sale/flat/301118742/,Москва,sale,flat,1,21,2,54.97,-1,0,10762574,,,к12,Филатов Луг,Цветочные Поляны ЖК
Самолет,developer,https://www.cian.ru/sale/flat/299285900/,Москва,sale,flat,9,9,2,55.7,-1,0,10781017,,,к30,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/299344650/,Москва,sale,flat,1,9,2,58.9,-1,0,10891580,,,к30,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/293149538/,Москва,sale,flat,2,9,2,54.59,-1,0,10761584,,,к30,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/301348852/,Москва,sale,flat,6,9,2,53.94,-1,0,10810339,,,к28,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/296654087/,Москва,sale,flat,2,7,2,60.29,-1,0,10880083,,,к28,Рассказовка,Новое Внуково ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301328009/,Москва,sale,flat,23,25,2,51.7,-1,0,10820086,Крюково,Зеленоград,6.4,Зеленоград — Крюково,Зеленый Парк ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301532033/,Москва,sale,flat,11,11,2,54.0,-1,0,10881368,Южное Бутово,,,Щербинка,Никольские Луга ЖК
ПИК,developer,https://www.cian.ru/sale/flat/300727340/,Москва,sale,flat,9,9,2,58.01,-1,0,10851797,,,к4.2,Филатов Луг,Середневский Лес ЖК
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/293400070/,Москва,sale,flat,5,9,2,46.0,-1,0,10800000,Вешняки,Вешняковская ,8К1,Выхино,
ПИК,developer,https://www.cian.ru/sale/flat/300679698/,Москва,sale,flat,23,25,2,48.6,-1,0,10840084,Крюково,Зеленоград,6.2,Зеленоград — Крюково,Зеленый Парк ЖК
Самолет плюс Троицк,real_estate_agent,https://www.cian.ru/sale/flat/299416552/,Москва,sale,flat,7,14,2,54.1,-1,0,10750000,, Кварцевая,2к4,Бунинская аллея,
Группа Аквилон,developer,https://www.cian.ru/sale/flat/298797760/,Москва,sale,flat,2,23,2,39.3,-1,0,10864296,Отрадное,Сигнальный проезд,12,Владыкино,Akvilon Signal
ПИК,developer,https://www.cian.ru/sale/flat/300727334/,Москва,sale,flat,2,9,2,56.45,-1,0,10936140,,,к4.2,Филатов Луг,Середневский Лес ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301532201/,Москва,sale,flat,4,9,2,59.5,-1,0,10998364,,,,Филатов Луг,Середневский Лес ЖК
Мост Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/301064251/,Москва,sale,flat,9,9,2,46.0,-1,0,10900000,Ясенево,проезд Карамзина,1К1,Ясенево,
А101,developer,https://www.cian.ru/sale/flat/292131426/,Москва,sale,flat,11,15,2,48.5,-1,0,10996017,,,,Коммунарка,Деснаречье ЖК
А101,developer,https://www.cian.ru/sale/flat/290891318/,Москва,sale,flat,6,12,2,44.4,-1,0,10902228,,,4.3,Бунинская аллея,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/279712234/,Москва,sale,flat,2,10,2,42.5,-1,0,10994137,,,1.4,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/296804395/,Москва,sale,flat,4,11,2,45.7,-1,0,10980119,,,,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/296804662/,Москва,sale,flat,3,11,2,46.6,-1,0,10958664,,,,Коммунарка,Дзен-кварталы ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301532031/,Москва,sale,flat,14,17,2,54.5,-1,0,10960849,Южное Бутово,,,Щербинка,Никольские Луга ЖК
А101,developer,https://www.cian.ru/sale/flat/301534360/,Москва,sale,flat,2,10,2,57.6,-1,0,10956525,,,,Толстопальцево,Родные кварталы
А101,developer,https://www.cian.ru/sale/flat/293987825/,Москва,sale,flat,3,13,2,39.7,-1,0,10945608,,,25.4,Бунинская аллея,Скандинавия ЖК
А101,developer,https://www.cian.ru/sale/flat/293987707/,Москва,sale,flat,3,17,2,39.7,-1,0,10945608,,,,Бунинская аллея,Скандинавия
А101,developer,https://www.cian.ru/sale/flat/288194024/,Москва,sale,flat,12,16,2,37.3,-1,0,10948109,,,,Бунинская аллея,Скандинавия
Самолет,developer,https://www.cian.ru/sale/flat/290481358/,Москва,sale,flat,2,23,2,56.29,-1,0,10913816,,,к2.2,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/296293119/,Москва,sale,flat,1,13,2,51.79,-1,0,10949105,,,к11,Филатов Луг,Цветочные Поляны ЖК
Самолет,developer,https://www.cian.ru/sale/flat/288994336/,Москва,sale,flat,6,10,2,51.43,-1,0,10927386,,,к21,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/296653836/,Москва,sale,flat,10,12,2,57.4,-1,0,10979236,,,к23,Щербинка,Остафьево ЖК
ПИК,developer,https://www.cian.ru/sale/flat/300727389/,Москва,sale,flat,5,9,2,54.09,-1,0,10969971,,,к4.2,Филатов Луг,Середневский Лес ЖК
Upside Development,developer,https://www.cian.ru/sale/flat/297367282/,Москва,sale,flat,1,8,2,54.7,-1,0,10941570,Бибирево, Корнейчука,27,Алтуфьево,Clementine
ТАНДЕМ,real_estate_agent,https://www.cian.ru/sale/flat/299477612/,Москва,sale,flat,6,16,2,55.15,-1,0,10900000,Южное Бутово, Захарьинские Дворики,3,Щербинка,
СИСТЕМА,real_estate_agent,https://www.cian.ru/sale/flat/298346238/,Москва,sale,flat,4,9,2,45.0,-1,0,10950000,Дмитровский,Клязьминская ,32,Лианозово,
,,https://www.cian.ru/sale/flat/299511002/,Москва,sale,flat,16,17,2,48.2,-1,0,11035365,, Мостотреста,,Щербинка,Юнино
А101,developer,https://www.cian.ru/sale/flat/300394408/,Москва,sale,flat,16,30,2,38.7,-1,0,11008338,Южное Бутово,м. Бунинская аллея,,Бунинская аллея,Южные Сады ЖК
,,https://www.cian.ru/sale/flat/295010430/,Москва,sale,flat,1,12,2,46.1,-1,0,11075525,Можайский,,,Сетунь,Стеллар Сити ЖК
А101,developer,https://www.cian.ru/sale/flat/291012794/,Москва,sale,flat,4,9,2,50.2,-1,0,11025179,,,6.1,Бунинская аллея,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/295212447/,Москва,sale,flat,2,19,2,70.2,-1,0,11090590,,,5.1,Бунинская аллея,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/288124697/,Москва,sale,flat,9,16,2,38.9,-1,0,11045112,,,,Бунинская аллея,Скандинавия
Самолет,developer,https://www.cian.ru/sale/flat/300305830/,Москва,sale,flat,2,23,2,54.88,-1,0,11065789,,,к2.1,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/296605793/,Москва,sale,flat,2,23,2,57.89,-1,0,11027949,,,к2.3,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/296448763/,Москва,sale,flat,14,16,2,51.8,-1,0,11011052,,,к6,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/301118733/,Москва,sale,flat,1,21,2,61.95,-1,0,11007411,,,к12,Филатов Луг,Цветочные Поляны ЖК
,,https://www.cian.ru/sale/flat/295010351/,Москва,sale,flat,1,12,2,45.4,-1,0,11020850,Можайский,,,Сетунь,Стеллар Сити ЖК
Самолет,developer,https://www.cian.ru/sale/flat/296654083/,Москва,sale,flat,4,5,2,54.6,-1,0,11077619,,,к29,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/300365908/,Москва,sale,flat,10,14,2,54.97,-1,0,11055112,,,к22,Щербинка,Остафьево ЖК
Plus Development,developer,https://www.cian.ru/sale/flat/298554427/,Москва,sale,flat,5,23,2,57.2,-1,0,11037083,,,,Филатов Луг,Детали ЖК
ЛэндЛ,real_estate_agent,https://www.cian.ru/sale/flat/301321592/,Москва,sale,flat,6,9,2,43.3,-1,0,11000000,Ясенево, Паустовского,4,Ясенево,
Апрелевка С2,developer,https://www.cian.ru/sale/flat/293999176/,Москва,sale,flat,3,3,2,54.5,-1,0,11063500,, Генерала Донскова,25к8,Апрелевка,Борисоглебское
ID 112387555,homeowner,https://www.cian.ru/sale/flat/300525502/,Москва,sale,flat,11,12,2,48.0,-1,0,11000000,, Высотная,4а,Щербинка,
А101,developer,https://www.cian.ru/sale/flat/291012443/,Москва,sale,flat,3,8,2,50.5,-1,0,11105720,,,6.1,Бунинская аллея,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/295212807/,Москва,sale,flat,8,18,2,57.6,-1,0,11104486,,,5.1,Улица Горчакова,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/289991303/,Москва,sale,flat,3,24,2,48.8,-1,0,11158370,,,3.1,Ольховая,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/299392140/,Москва,sale,flat,2,11,2,50.6,-1,0,11160554,,,,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/300575543/,Москва,sale,flat,2,15,2,42.6,-1,0,11187932,,,,Прокшино,Прокшино ЖК
А101,developer,https://www.cian.ru/sale/flat/292609124/,Москва,sale,flat,13,17,2,42.0,-1,0,11193194,,проспект Прокшинский,,Филатов Луг,Прокшино
А101,developer,https://www.cian.ru/sale/flat/293987820/,Москва,sale,flat,2,13,2,38.6,-1,0,11193321,,,25.4,Бунинская аллея,Скандинавия ЖК
А101,developer,https://www.cian.ru/sale/flat/278054004/,Москва,sale,flat,2,14,2,40.6,-1,0,11197933,,,,Улица Скобелевская,Скандинавия
Самолет,developer,https://www.cian.ru/sale/flat/294049023/,Москва,sale,flat,17,17,2,50.92,-1,0,11187251,,,к1,Филатов Луг,Квартал Марьино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/297650552/,Москва,sale,flat,9,10,2,59.98,-1,0,11108670,,,к32,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/296435643/,Москва,sale,flat,11,14,2,50.3,-1,0,11169154,,,4-5,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/293629665/,Москва,sale,flat,1,9,2,58.85,-1,0,11165897,,,к22,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/300305700/,Москва,sale,flat,4,7,2,52.62,-1,0,11131175,,,к28,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/300305693/,Москва,sale,flat,1,5,2,60.01,-1,0,11172136,,,к29,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/300625152/,Москва,sale,flat,10,14,2,57.4,-1,0,11190354,,,к22,Щербинка,Остафьево ЖК
Level Group,developer,https://www.cian.ru/sale/flat/301565213/,Москва,sale,flat,5,13,2,36.4,-1,0,,Печатники,,,Кожуховская,Левел Южнопортовая ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301532199/,Москва,sale,flat,6,9,2,62.9,-1,0,11201618,,,,Филатов Луг,Середневский Лес ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301532198/,Москва,sale,flat,3,9,2,64.1,-1,0,11291511,,,,Филатов Луг,Середневский Лес ЖК
А101,developer,https://www.cian.ru/sale/flat/300219835/,Москва,sale,flat,14,30,2,40.5,-1,0,11280860,Южное Бутово,м. Бунинская аллея,,Бунинская аллея,Южные Сады ЖК
А101,developer,https://www.cian.ru/sale/flat/274078656/,Москва,sale,flat,16,30,2,40.7,-1,0,11294631,Южное Бутово,к2.4,к2.4,Улица Горчакова,Южные Сады ЖК
А101,developer,https://www.cian.ru/sale/flat/291012497/,Москва,sale,flat,2,21,2,49.1,-1,0,11259263,,,6.1,Бунинская аллея,Бунинские Кварталы ЖК
Инград,developer,https://www.cian.ru/sale/flat/300383509/,Москва,sale,flat,8,22,2,48.6,-1,0,11255200,,,к6,Саларьево,Филатов Луг ЖК
А101,developer,https://www.cian.ru/sale/flat/295212215/,Москва,sale,flat,3,18,2,45.8,-1,0,11270309,,,5.1,Улица Горчакова,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/289428259/,Москва,sale,flat,18,18,2,38.4,-1,0,11215140,,,2.3,Бунинская аллея,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/280245502/,Москва,sale,flat,6,10,2,45.2,-1,0,11253985,,,2.4,Бунинская аллея,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/289991194/,Москва,sale,flat,3,14,2,51.9,-1,0,11294409,,,3.2,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/296819772/,Москва,sale,flat,3,23,2,49.5,-1,0,11289009,,,,Бунинская аллея,Дзен-кварталы ЖК
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/298657032/,Москва,sale,flat,1,20,2,54.3,-1,0,11279868,,,7-я фаза,Филатов Луг,Первый Московский ЖК
Самолет,developer,https://www.cian.ru/sale/flat/292085260/,Москва,sale,flat,13,14,2,56.98,-1,0,11299036,,,к1,Филатов Луг,Квартал Марьино ЖК
Самолет,developer,https://www.cian.ru/sale/flat/290476053/,Москва,sale,flat,13,23,2,64.76,-1,0,11253249,,,к2.2,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/300305811/,Москва,sale,flat,3,23,2,54.15,-1,0,11271628,,,к2.3,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/296605805/,Москва,sale,flat,23,23,2,55.83,-1,0,11204806,,,к2.3,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/296577159/,Москва,sale,flat,16,16,2,61.7,-1,0,11242043,,,к2,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/296533404/,Москва,sale,flat,10,16,2,59.0,-1,0,11247937,,,к2,Филатов Луг,Цветочные Поляны
Самолет,developer,https://www.cian.ru/sale/flat/295427643/,Москва,sale,flat,9,9,2,57.46,-1,0,11279556,,,к28,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/296653920/,Москва,sale,flat,9,14,2,53.95,-1,0,11268320,,,к22,Щербинка,Остафьево ЖК
Олеся Филатова,realtor,https://www.cian.ru/sale/flat/300638883/,Москва,sale,flat,4,5,2,43.3,-1,0,11200000,Хорошево-Мневники,проспект Маршала Жукова,40,Народное Ополчение,
Самолет Плюс - Домодедово,real_estate_agent,https://www.cian.ru/sale/flat/300666823/,Москва,sale,flat,2,14,2,58.7,-1,0,11200000,Южное Бутово,шоссе Остафьевское,,Щербинка,Остафьево
ПИК,developer,https://www.cian.ru/sale/flat/300727492/,Москва,sale,flat,7,9,2,57.01,-1,0,11204298,,,к4.1,Филатов Луг,Середневский Лес ЖК
Самолет Плюс Москва ЦАО,real_estate_agent,https://www.cian.ru/sale/flat/301036472/,Москва,sale,flat,3,12,2,38.5,-1,0,11200000,Строгино, Твардовского,10С2,Строгино,
,,https://www.cian.ru/sale/flat/299509979/,Москва,sale,flat,2,14,2,57.3,-1,0,11324700,Тимирязевский,к3.5,к3.5,Верхние Лихоборы,Большая Академическая 85 ЖК
А101,developer,https://www.cian.ru/sale/flat/274078681/,Москва,sale,flat,19,30,2,40.4,-1,0,11397221,Южное Бутово,к2.4,к2.4,Улица Горчакова,Южные Сады ЖК
Абсолют Недвижимость,developer,https://www.cian.ru/sale/flat/285444451/,Москва,sale,flat,16,22,2,56.4,-1,0,11356584,,,к4,Рассказовка,Город-парк Первый Московский
ИПОМАКС,real_estate_agent,https://www.cian.ru/sale/flat/300886855/,Москва,sale,flat,12,24,2,38.6,-1,0,11350000,, Бачуринская,7к2,Коммунарка,Новая Звезда
А101,developer,https://www.cian.ru/sale/flat/279343548/,Москва,sale,flat,16,19,2,50.2,-1,0,11371193,,,к2.3,Бунинская аллея,Бунинские Кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/280245474/,Москва,sale,flat,2,10,2,44.3,-1,0,11397298,,,2.4,Бунинская аллея,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/280245297/,Москва,sale,flat,3,10,2,40.5,-1,0,11330964,,,2.4,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/280245282/,Москва,sale,flat,2,10,2,42.6,-1,0,11370745,,,2.4,Улица Горчакова,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/290891320/,Москва,sale,flat,6,12,2,45.0,-1,0,11372316,,,4.3,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/290890890/,Москва,sale,flat,2,21,2,53.1,-1,0,11447377,,,4.2,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/289991299/,Москва,sale,flat,3,24,2,52.2,-1,0,11396356,,,3.1,Коммунарка,Дзен-кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/296398070/,Москва,sale,flat,4,9,2,53.9,-1,0,11424321,,,1.2,Толстопальцево,Родные кварталы ЖК
А101,developer,https://www.cian.ru/sale/flat/291009811/,Москва,sale,flat,2,18,2,41.4,-1,0,11355170,,,37.2.2,Улица Скобелевская,Скандинавия ЖК
А101,developer,https://www.cian.ru/sale/flat/299535200/,Москва,sale,flat,2,18,2,52.5,-1,0,11440144,,,,Бунинская аллея,Скандинавия
А101,developer,https://www.cian.ru/sale/flat/293987148/,Москва,sale,flat,2,14,2,36.7,-1,0,11411268,,,25.1,Улица Скобелевская,Скандинавия ЖК
Самолет,developer,https://www.cian.ru/sale/flat/290481343/,Москва,sale,flat,15,23,2,64.41,-1,0,11310047,,,к2.2,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/296605810/,Москва,sale,flat,2,23,2,54.83,-1,0,11368827,,,к2.3,Румянцево,Тропарево Парк
Самолет,developer,https://www.cian.ru/sale/flat/300305729/,Москва,sale,flat,1,10,2,53.7,-1,0,11310224,,,к20,Рассказовка,Новое Внуково ЖК
Самолет,developer,https://www.cian.ru/sale/flat/300305648/,Москва,sale,flat,2,9,2,53.87,-1,0,11329789,,,к27,Рассказовка,Новое Внуково ЖК
Метриум Премиум - отдел вторичной недвижимости,real_estate_agent,https://www.cian.ru/sale/flat/300071406/,Москва,sale,flat,7,23,2,40.2,-1,0,11300000,Южнопортовый,м. Волгоградский проспект,,Волгоградский проспект,Хайвэй ЖК
ПИК,developer,https://www.cian.ru/sale/flat/300724338/,Москва,sale,flat,4,9,2,56.4,-1,0,11416673,,,к4.1,Филатов Луг,Середневский Лес ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301532024/,Москва,sale,flat,11,11,2,57.4,-1,0,11415259,Южное Бутово,,,Щербинка,Никольские Луга ЖК
ПИК,developer,https://www.cian.ru/sale/flat/301532193/,Москва,sale,flat,3,9,2,64.8,-1,0,11527465,,,,Филатов Луг,Середневский Лес ЖК
Vysotsky Estate,real_estate_agent,https://www.cian.ru/sale/flat/301307696/,Москва,sale,flat,2,12,2,38.0,-1,0,11500000,Головинский,Авангардная ,14А,Водный стадион,
А101,developer,https://www.cian.ru/sale/flat/273873830/,Москва,sale,flat,19,30,2,40.3,-1,0,11548177,Южное Бутово,м. Бунинская аллея,,Бунинская аллея,Южные Сады ЖК
НАТАНИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/300986651/,Москва,sale,flat,4,12,2,44.6,-1,0,11000000,Головинский,Смольная ,7,Водный стадион,
Этажи Москва,real_estate_agent,https://www.cian.ru/sale/flat/298373497/,Москва,sale,flat,26,26,2,50.8,-1,0,10990000,Метрогородок,Лосиноостровская ,45к4,Бульвар Рокоссовского,Сказочный лес
CENTURY 21 Столичная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/298216557/,Москва,sale,flat,13,16,1,37.8,-1,0,9990000,,,28.3,Потапово,Скандинавия ЖК
Владис,real_estate_agent,https://www.cian.ru/sale/flat/299860530/,Москва,sale,flat,11,25,2,56.5,-1,0,12430000,Богородское,Лосиноостровская ,2С2,Белокаменная,Сказочный лес
Азбука Жилья,real_estate_agent,https://www.cian.ru/sale/flat/300123752/,Москва,sale,flat,4,17,2,44.0,-1,0,9200000,Головинский,Смольная ,2,Водный стадион,
Аукционный Дом ТОРГИ-РУ,real_estate_agent,https://www.cian.ru/sale/flat/301337678/,Москва,sale,flat,15,15,2,60.7,-1,0,10069920,, Потаповская Роща,24к2,Потапово,Белые ночи
ИНКОМ-Недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300932423/,Москва,sale,flat,12,15,2,56.0,-1,0,14100000,,бульвар Скандинавский,23к2,Потапово,Скандинавия
МИЭЛЬ,real_estate_agent,https://www.cian.ru/sale/flat/300398999/,Москва,sale,flat,14,16,2,60.0,-1,0,13500000,, Эдварда Грига,18к1,Потапово,Скандинавия
ID 7480182,homeowner,https://www.cian.ru/sale/flat/300506812/,Москва,sale,flat,8,8,1,43.6,-1,0,10950000,, Эдварда Грига,17,Потапово,Скандинавия
MR Group,developer,https://www.cian.ru/sale/flat/299093606/,Москва,sale,flat,9,27,3,79.4,-1,0,39050875,Даниловский,Дубининская ,59к6,Серпуховская,Павелецкая Сити
GRAND ESTATE - Премиальная недвижимость,real_estate_agent,https://www.cian.ru/sale/flat/300871845/,Москва,sale,flat,3,15,3,95.0,-1,0,35000000,Пресненский,Зоологическая ,30С2,Баррикадная,
Tekta Group,developer,https://www.cian.ru/sale/flat/301260310/,Москва,sale,flat,2,32,3,64.7,-1,0,29949630,Даниловский,,,Серпуховская,Era
BARNES International Realty,real_estate_agent,https://www.cian.ru/sale/flat/297764809/,Москва,sale,flat,3,15,3,94.0,-1,0,35000000,Пресненский,Зоологическая ,30С2,Баррикадная,
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/299934980/,Москва,sale,flat,3,13,3,89.86,-1,0,38118612,,,В21 кв-л,Опалиха,Сберсити ЖК
Kalinka Group,real_estate_agent,https://www.cian.ru/sale/flat/300342112/,Москва,sale,flat,40,51,3,78.0,-1,0,37990000,Раменки,Мичуринский проспект,56,Раменки,"Небо — Небоскребы на Мичуринском, 56"
Главстрой,developer,https://www.cian.ru/sale/flat/296921127/,Москва,sale,flat,3,20,3,103.9,-1,0,36962923,Филевский парк,Береговой проезд,2,Народное Ополчение,Береговой-2
ID 47234297,homeowner,https://www.cian.ru/sale/flat/298474271/,Москва,sale,flat,2,24,3,90.0,-1,0,33600000,Хорошево-Мневники, Народного Ополчения,11,Народное Ополчение,Wellton park
Tekta Group,developer,https://www.cian.ru/sale/flat/301261484/,Москва,sale,flat,25,34,3,59.3,-1,0,26536750,Обручевский,,,Калужская,Эвер ЖК
IZRAEV invest club,real_estate_agent,https://www.cian.ru/sale/flat/301024064/,Москва,sale,flat,23,29,3,79.3,-1,0,29999999,Очаково-Матвеевское,Аминьевское шоссе,4Дк2,Аминьевская,Вестердам
Рублево-Архангельское,developer,https://www.cian.ru/sale/flat/300423799/,Москва,sale,flat,4,10,3,73.5,-1,0,35676900,,,В14 кв-л,Павшино,Сберсити ЖК
Екатерина Боброва,realtor,https://www.cian.ru/sale/flat/300364688/,Москва,sale,flat,9,10,3,60.0,-1,0,27400000,ЛУЧШАЯ кв-ра в е!Свежий ремонт3-комн. квартира,60 м²,,,
MR Group,developer,https://www.cian.ru/sale/flat/300288449/,Москва,sale,flat,8,49,3,89.97,-1,0,37462968,Савеловский,,,Дмитровская,Симфония 34 ЖК
EstateLiga,real_estate_agent,https://www.cian.ru/sale/flat/299050567/,Москва,sale,flat,3,14,3,69.0,-1,0,36000000,Раменки,проспект Генерала Дорохова,39к2Л,Минская,Собрание клубных домов West Garden
Tekta Group,developer,https://www.cian.ru/sale/flat/301259703/,Москва,sale,flat,14,42,3,65.9,-1,0,34268000,Котловка,Севастопольский проспект,22А,Нагорная,Eniteo
ID 25751693,realtor,https://www.cian.ru/sale/flat/299938830/,Москва,sale,flat,10,12,3,62.7,-1,0,23982750,Таганский, Рогожский Вал,10,Площадь Ильича,Рогожский вал 12
ID 112819123,developer,https://www.cian.ru/sale/flat/298006468/,Москва,sale,flat,18,30,3,64.6,-1,0,29367160,Щукино,проезд 4-й Красногорский,3,Стрешнево,Moments
ID 52789171,unknown,https://www.cian.ru/sale/flat/300527453/,Москва,sale,flat,8,9,3,82.0,-1,0,20800000,Южное Бутово,Чечерский проезд,34,Улица Горчакова,
Tekta Group,developer,https://www.cian.ru/sale/flat/301425697/,Москва,sale,flat,3,34,3,54.4,-1,0,20617600,Нагорный,,2,Нагорная,Твелв ЖК
Whitewill,real_estate_agent,https://www.cian.ru/sale/flat/299771808/,Москва,sale,flat,24,56,3,71.0,-1,0,33500000,Раменки,проспект Генерала Дорохова,вл1к3,Минская,Will Towers
Ташир,developer,https://www.cian.ru/sale/flat/291690077/,Москва,sale,flat,7,21,3,72.0,-1,0,21960000,Очаково-Матвеевское,Аминьевское шоссе,6,Давыдково,West Tower (Апартаменты бизнес-класса)
